SGTime,Engagement
0.06666667,2
0.08333334,2
0.1,2
0.1166667,2
0.1333333,2
0.15,2
0.1666667,2
0.1833333,2
0.2,2
0.2166667,2
0.2333333,2
0.25,2
0.2666667,2
0.2833333,2
0.3,2
0.3166667,2
0.3333333,2
0.35,2
0.3666667,2
0.3833333,2
0.4,2
0.4166667,2
0.4333333,2
0.45,2
0.4666667,2
0.4833333,2
0.5,2
0.5166667,2
0.5333334,2
0.55,2
0.5666667,2
0.5833333,2
0.6,2
0.6166667,2
0.6333333,2
0.65,2
0.6666667,2
0.6833333,2
0.7,2
0.7166666,2
0.7333333,2
0.75,2
0.7666667,2
0.7833334,2
0.8,2
0.8166667,2
0.8333333,2
0.85,2
0.8666667,2
0.8833333,2
0.9,2
0.9166667,2
0.9333333,2
0.95,2
0.9666666,2
0.9833333,2
1.0,2
1.016667,2
1.033333,2
1.05,2
1.066667,2
1.083333,2
1.1,2
1.116667,2
1.133333,2
1.15,2
1.166667,2
1.183333,2
1.2,2
1.216667,2
1.233333,2
1.25,2
1.266667,2
1.283333,2
1.3,2
1.316667,2
1.333333,2
1.35,2
1.366667,2
1.383333,2
1.4,2
1.416667,2
1.433333,2
1.45,2
1.466667,2
1.483333,2
1.5,2
1.516667,2
1.533333,2
1.55,2
1.566667,2
1.583333,2
1.6,2
1.616667,2
1.633333,2
1.65,2
1.666667,2
1.683333,2
1.7,2
1.716667,2
1.733333,2
1.75,2
1.766667,2
1.783333,2
1.8,2
1.816667,2
1.833333,2
1.85,2
1.866667,2
1.883333,2
1.9,2
1.916667,2
1.933333,2
1.95,2
1.966667,2
1.983333,2
2.0,2
2.016667,2
2.033333,2
2.05,2
2.066667,2
2.083333,2
2.1,2
2.116667,2
2.133333,2
2.15,2
2.166667,2
2.183333,2
2.2,2
2.216667,2
2.233333,2
2.25,2
2.266667,2
2.283333,2
2.3,2
2.316667,2
2.333333,2
2.35,2
2.366667,2
2.383333,2
2.4,2
2.416667,2
2.433333,2
2.45,2
2.466667,2
2.483333,2
2.5,2
2.516667,2
2.533333,2
2.55,2
2.566667,2
2.583333,2
2.6,2
2.616667,2
2.633333,2
2.65,2
2.666667,2
2.683333,2
2.7,2
2.716667,2
2.733333,2
2.75,2
2.766667,2
2.783333,2
2.8,2
2.816667,2
2.833333,2
2.85,2
2.866667,2
2.883333,2
2.9,2
2.916667,2
2.933333,2
2.95,2
2.966667,2
2.983333,2
3.0,2
3.016667,2
3.033333,2
3.05,2
3.066667,2
3.083333,2
3.1,2
3.116667,2
3.133333,2
3.15,2
3.166667,2
3.183333,2
3.2,2
3.216667,2
3.233333,2
3.25,2
3.266667,2
3.283333,2
3.3,2
3.316667,2
3.333333,2
3.35,2
3.366667,2
3.383333,2
3.4,2
3.416667,2
3.433333,2
3.45,2
3.466667,2
3.483333,2
3.5,2
3.516667,2
3.533333,2
3.55,2
3.566667,2
3.583333,2
3.6,2
3.616667,2
3.633333,2
3.65,2
3.666667,2
3.683333,2
3.7,2
3.716667,2
3.733333,2
3.75,2
3.766667,2
3.783333,2
3.8,2
3.816667,2
3.833333,2
3.85,2
3.866667,2
3.883333,2
3.9,2
3.916667,2
3.933333,2
3.95,2
3.966667,2
3.983333,2
4.0,2
4.016667,2
4.033333,2
4.05,2
4.066667,2
4.083333,2
4.1,2
4.116667,2
4.133333,2
4.15,2
4.166667,2
4.183333,2
4.2,2
4.216667,2
4.233333,2
4.25,2
4.266667,2
4.283333,2
4.3,2
4.316667,2
4.333333,2
4.35,2
4.366667,2
4.383333,2
4.4,2
4.416667,2
4.433333,2
4.45,2
4.466667,2
4.483333,2
4.5,2
4.516667,2
4.533333,2
4.55,2
4.566667,2
4.583333,2
4.6,2
4.616667,2
4.633333,2
4.65,2
4.666667,2
4.683333,2
4.7,2
4.716667,2
4.733333,2
4.75,2
4.766667,2
4.783333,2
4.8,2
4.816667,2
4.833333,2
4.85,2
4.866667,2
4.883333,2
4.9,2
4.916667,2
4.933333,2
4.95,2
4.966667,2
4.983333,2
5.0,2
5.016667,2
5.033333,2
5.05,2
5.066667,2
5.083333,2
5.1,2
5.116667,2
5.133333,2
5.15,2
5.166667,2
5.183333,2
5.2,2
5.216667,2
5.233333,2
5.25,2
5.266667,2
5.283333,2
5.3,2
5.316667,2
5.333333,2
5.35,2
5.366667,2
5.383333,2
5.4,2
5.416667,2
5.433333,2
5.45,2
5.466667,2
5.483333,2
5.5,2
5.516667,2
5.533333,2
5.55,2
5.566667,2
5.583333,2
5.6,2
5.616667,2
5.633333,2
5.65,2
5.666667,2
5.683333,2
5.7,2
5.716667,2
5.733333,2
5.75,2
5.766667,2
5.783333,2
5.8,2
5.816667,2
5.833333,2
5.85,2
5.866667,2
5.883333,2
5.9,2
5.916667,2
5.933333,2
5.95,2
5.966667,2
5.983333,2
6.0,2
6.016667,2
6.033333,2
6.05,2
6.066667,2
6.083333,2
6.1,2
6.116667,2
6.133333,2
6.15,2
6.166667,2
6.183333,2
6.2,2
6.216667,2
6.233333,2
6.25,2
6.266667,2
6.283333,2
6.3,2
6.316667,2
6.333333,2
6.35,2
6.366667,2
6.383333,2
6.4,2
6.416667,2
6.433333,2
6.45,2
6.466667,2
6.483333,2
6.5,2
6.516667,2
6.533333,2
6.55,2
6.566667,2
6.583333,2
6.6,2
6.616667,2
6.633333,2
6.65,2
6.666667,2
6.683333,2
6.7,2
6.716667,2
6.733333,2
6.75,2
6.766667,2
6.783333,2
6.8,2
6.816667,2
6.833333,2
6.85,2
6.866667,2
6.883333,2
6.9,2
6.916667,2
6.933333,2
6.95,2
6.966667,2
6.983333,2
7.0,2
7.016667,2
7.033333,2
7.05,2
7.066667,2
7.083333,2
7.1,2
7.116667,2
7.133333,2
7.15,2
7.166667,2
7.183333,2
7.2,2
7.216667,2
7.233333,2
7.25,2
7.266667,2
7.283333,2
7.3,2
7.316667,2
7.333333,2
7.35,2
7.366667,2
7.383333,2
7.4,2
7.416667,2
7.433333,2
7.45,2
7.466667,2
7.483333,2
7.5,2
7.516667,2
7.533333,2
7.55,2
7.566667,2
7.583333,2
7.6,2
7.616667,2
7.633333,2
7.65,2
7.666667,2
7.683333,2
7.7,2
7.716667,2
7.733333,2
7.75,2
7.766667,2
7.783333,2
7.8,2
7.816667,2
7.833333,2
7.85,2
7.866667,2
7.883333,2
7.9,2
7.916667,2
7.933333,2
7.95,2
7.966667,2
7.983333,2
8.0,2
8.016666,2
8.033334,2
8.05,2
8.066667,2
8.083333,2
8.1,2
8.116667,2
8.133333,2
8.15,2
8.166667,2
8.183333,2
8.2,2
8.216666,2
8.233334,2
8.25,2
8.266666,2
8.283334,2
8.3,2
8.316667,2
8.333333,2
8.35,2
8.366667,2
8.383333,2
8.4,2
8.416667,2
8.433333,2
8.45,2
8.466666,2
8.483334,2
8.5,2
8.516666,2
8.533334,2
8.55,2
8.566667,2
8.583333,2
8.6,2
8.616667,2
8.633333,2
8.65,2
8.666667,2
8.683333,2
8.7,2
8.716666,2
8.733334,2
8.75,2
8.766666,2
8.783334,2
8.8,2
8.816667,2
8.833333,2
8.85,2
8.866667,2
8.883333,2
8.9,2
8.916667,2
8.933333,2
8.95,2
8.966666,2
8.983334,2
9.0,2
9.016666,2
9.033334,2
9.05,2
9.066667,2
9.083333,2
9.1,2
9.116667,2
9.133333,2
9.15,2
9.166667,2
9.183333,2
9.2,2
9.216666,2
9.233334,2
9.25,2
9.266666,2
9.283334,2
9.3,2
9.316667,2
9.333333,2
9.35,2
9.366667,2
9.383333,2
9.4,2
9.416667,2
9.433333,2
9.45,2
9.466666,2
9.483334,2
9.5,2
9.516666,2
9.533334,2
9.55,2
9.566667,2
9.583333,2
9.6,2
9.616667,2
9.633333,2
9.65,2
9.666667,2
9.683333,2
9.7,2
9.716666,2
9.733334,2
9.75,2
9.766666,2
9.783334,2
9.8,2
9.816667,2
9.833333,2
9.85,2
9.866667,2
9.883333,2
9.9,2
9.916667,2
9.933333,2
9.95,2
9.966666,2
9.983334,2
10.0,2
10.01667,2
10.03333,2
10.05,2
10.06667,2
10.08333,2
10.1,2
10.11667,2
10.13333,2
10.15,2
10.16667,2
10.18333,2
10.2,2
10.21667,2
10.23333,2
10.25,2
10.26667,2
10.28333,2
10.3,2
10.31667,2
10.33333,2
10.35,2
10.36667,2
10.38333,2
10.4,2
10.41667,2
10.43333,2
10.45,2
10.46667,2
10.48333,2
10.5,2
10.51667,2
10.53333,2
10.55,2
10.56667,2
10.58333,2
10.6,2
10.61667,2
10.63333,2
10.65,2
10.66667,2
10.68333,2
10.7,2
10.71667,2
10.73333,2
10.75,2
10.76667,2
10.78333,2
10.8,2
10.81667,2
10.83333,2
10.85,2
10.86667,2
10.88333,2
10.9,2
10.91667,2
10.93333,2
10.95,2
10.96667,2
10.98333,2
11.0,2
11.01667,2
11.03333,2
11.05,2
11.06667,2
11.08333,2
11.1,2
11.11667,2
11.13333,2
11.15,2
11.16667,2
11.18333,2
11.2,2
11.21667,2
11.23333,2
11.25,2
11.26667,2
11.28333,2
11.3,2
11.31667,2
11.33333,2
11.35,2
11.36667,2
11.38333,2
11.4,2
11.41667,2
11.43333,2
11.45,2
11.46667,2
11.48333,2
11.5,2
11.51667,2
11.53333,2
11.55,2
11.56667,2
11.58333,2
11.6,2
11.61667,2
11.63333,2
11.65,2
11.66667,2
11.68333,2
11.7,2
11.71667,2
11.73333,2
11.75,2
11.76667,2
11.78333,2
11.8,2
11.81667,2
11.83333,2
11.85,2
11.86667,2
11.88333,2
11.9,2
11.91667,2
11.93333,2
11.95,2
11.96667,2
11.98333,2
12.0,2
12.01667,2
12.03333,2
12.05,2
12.06667,2
12.08333,2
12.1,2
12.11667,2
12.13333,2
12.15,2
12.16667,2
12.18333,2
12.2,2
12.21667,2
12.23333,2
12.25,2
12.26667,2
12.28333,2
12.3,2
12.31667,2
12.33333,2
12.35,2
12.36667,2
12.38333,2
12.4,2
12.41667,2
12.43333,2
12.45,2
12.46667,2
12.48333,2
12.5,2
12.51667,2
12.53333,2
12.55,2
12.56667,2
12.58333,2
12.6,2
12.61667,2
12.63333,2
12.65,2
12.66667,2
12.68333,2
12.7,2
12.71667,2
12.73333,2
12.75,2
12.76667,2
12.78333,2
12.8,2
12.81667,2
12.83333,2
12.85,2
12.86667,2
12.88333,2
12.9,2
12.91667,2
12.93333,2
12.95,2
12.96667,2
12.98333,2
13.0,2
13.01667,2
13.03333,2
13.05,2
13.06667,2
13.08333,2
13.1,2
13.11667,2
13.13333,2
13.15,2
13.16667,2
13.18333,2
13.2,2
13.21667,2
13.23333,2
13.25,2
13.26667,2
13.28333,2
13.3,2
13.31667,2
13.33333,2
13.35,2
13.36667,2
13.38333,2
13.4,2
13.41667,2
13.43333,2
13.45,2
13.46667,2
13.48333,2
13.5,2
13.51667,2
13.53333,2
13.55,2
13.56667,2
13.58333,2
13.6,2
13.61667,2
13.63333,2
13.65,2
13.66667,2
13.68333,2
13.7,2
13.71667,2
13.73333,2
13.75,2
13.76667,2
13.78333,2
13.8,2
13.81667,2
13.83333,2
13.85,2
13.86667,2
13.88333,2
13.9,2
13.91667,2
13.93333,2
13.95,2
13.96667,2
13.98333,2
14.0,2
14.01667,2
14.03333,2
14.05,2
14.06667,2
14.08333,2
14.1,2
14.11667,2
14.13333,2
14.15,2
14.16667,2
14.18333,2
14.2,2
14.21667,2
14.23333,2
14.25,2
14.26667,2
14.28333,2
14.3,2
14.31667,2
14.33333,2
14.35,2
14.36667,2
14.38333,2
14.4,2
14.41667,2
14.43333,2
14.45,2
14.46667,2
14.48333,2
14.5,2
14.51667,2
14.53333,2
14.55,2
14.56667,2
14.58333,2
14.6,2
14.61667,2
14.63333,2
14.65,2
14.66667,2
14.68333,2
14.7,2
14.71667,2
14.73333,2
14.75,2
14.76667,2
14.78333,2
14.8,2
14.81667,2
14.83333,2
14.85,2
14.86667,2
14.88333,2
14.9,2
14.91667,2
14.93333,2
14.95,2
14.96667,2
14.98333,2
15.0,2
15.01667,2
15.03333,2
15.05,2
15.06667,2
15.08333,2
15.1,2
15.11667,2
15.13333,2
15.15,2
15.16667,2
15.18333,2
15.2,2
15.21667,2
15.23333,2
15.25,2
15.26667,2
15.28333,2
15.3,2
15.31667,2
15.33333,2
15.35,2
15.36667,2
15.38333,2
15.4,2
15.41667,2
15.43333,2
15.45,2
15.46667,2
15.48333,2
15.5,2
15.51667,2
15.53333,2
15.55,2
15.56667,2
15.58333,2
15.6,2
15.61667,2
15.63333,2
15.65,2
15.66667,2
15.68333,2
15.7,2
15.71667,2
15.73333,2
15.75,2
15.76667,2
15.78333,2
15.8,2
15.81667,2
15.83333,2
15.85,2
15.86667,2
15.88333,2
15.9,2
15.91667,2
15.93333,2
15.95,2
15.96667,2
15.98333,2
16.0,2
16.01667,2
16.03333,2
16.05,2
16.06667,2
16.08333,2
16.1,2
16.11667,2
16.13333,2
16.15,2
16.16667,2
16.18333,2
16.2,2
16.21667,2
16.23333,2
16.25,2
16.26667,2
16.28333,2
16.3,2
16.31667,2
16.33333,2
16.35,2
16.36667,2
16.38333,2
16.4,2
16.41667,2
16.43333,2
16.45,2
16.46667,2
16.48333,2
16.5,2
16.51667,2
16.53333,2
16.55,2
16.56667,2
16.58333,2
16.6,2
16.61667,2
16.63333,2
16.65,2
16.66667,2
16.68333,2
16.7,2
16.71667,2
16.73333,2
16.75,2
16.76667,2
16.78333,2
16.8,2
16.81667,2
16.83333,2
16.85,2
